
EVTDESC_WoL_12020;Yet another peasant family was found butchered not far from where the first grisly murders took place, but this time the killer was caught in the act. He was killed by your guardsmen while trying to escape, and the body they hauled back does decidedly not belong to the dead peasant who expired in your torture chamber.;;;;;;;;;x
EVTOPTA_WoL_12020;Well... fancy that.;;;;;;;;;x
EVTDESC_WoL_12021;卫兵报告说在第一件惊悚的谋杀案发生地不远处有另一户农民被屠杀了. 但是这次凶手被当场抓获, 并在逃跑时被卫兵的弓箭打得千疮百孔. 现在看来你关起来的那个农民是无辜的.;;;;;;;;;x
EVTOPTA_WoL_12021;别傻站着了, 把他放出来!;;;;;;;;;x
EVTDESC_WoL_12022;Your guards inform you that yet another peasant family has been found butchered not far from where the first grisly murders took place. This time the killer was caught in the act, and he was perforated by arrows when he tried to escape your guardsmen. It would seem the peasant you had imprisoned was innocent after all. Unfortunately he perished in your dungeons months ago.;;;;;;;;;x
EVTOPTA_WoL_12022;Well, how was I to know?;;;;;;;;;x
EVTDESC_WoL_12501;Your understanding of all matters pertaining to rulership and administration has increased.;;;;;;;;;x
EVTDESC_WoL_12502;Recent events have increased your grasp of stewardship.;;;;;;;;;x
EVTDESC_WoL_12503;Ruling from your court has increased your sense of justice. Your judgments have a profound effect on the lives of your subjects, and you have decided to be more fair.;;;;;;;;;x
EVTDESC_WoL_12504;As more and more people seek audience at your court, you have come to realize that there is much to do when it comes to the administration of the realm. You must work harder!;;;;;;;;;x
EVTDESC_WoL_12505;You are no longer content to rest on your laurels. The problems facing your realm are legion, and clearly no one can fix them but you.;;;;;;;;;x
EVTDESC_WoL_12026;The feuding between [feuding_noble_1.GetBestName] and [feuding_noble_2.GetBestName] has reached your court, and can no longer be ignored. As your vassals, both have brought their grievances against each other to you in the hope of garnering your support.;;;;;;;;;x
EVTOPTA_WoL_12026;[feuding_noble_1.GetTitledFirstName] is clearly in the right.;;;;;;;;;x
EVTOPTB_WoL_12026;[feuding_noble_2.GetTitledFirstName] has my support.;;;;;;;;;x
EVTOPTC_WoL_12026;Both are acting like quarreling children!;;;;;;;;;x
EVTDESC_WoL_12027;A party of soldiers flying the banner of [farm_fire_noble.GetBestName] recently set up camp in the middle of a field belonging to a farmer in [Root.Capital.GetName]. According to the farmer, their camp fire spread out of control and his entire crop was reduced to ashes. He has brought the matter before your court and demands compensation.;;;;;;;;;x
EVTOPTA_WoL_12027;[farm_fire_noble.GetTitledFirstName] is to compensate the farmer.;;;;;;;;;x
EVTOPTB_WoL_12027;The fire was a divine act. No one is responsible.;;;;;;;;;x
EVTOPTC_WoL_12027;I shall pay the farmer out of my own coffers.;;;;;;;;;x
EVTDESC_WoL_12028;A woman accused of witchcraft in [witch_province.GetName] has been dragged before your court. Several witnesses have seen her performing dark rituals in her secluded hut, possibly related to recent crop failures. She claims innocence, and it falls on you to determine her fate.;;;;;;;;;x
EVTOPTA_WoL_12028;She will burn at the stake.;;;;;;;;;x
EVTOPTB_WoL_12028;Throw the fiend in the dungeons!;;;;;;;;;x
EVTOPTC_WoL_12028;What nonsense is this? Release the poor woman at once!;;;;;;;;;x
EVTDESC_WoL_12029;Several tavern owners in [drunken_rampage.GetName] have come forward to your court with complaints against [noble_drunkard.GetBestName]. Apparently, [noble_drunkard.GetSheHe] has gone on drunken rampages in all of their establishments, and they are demanding compensation. [noble_drunkard.GetTitledFirstName] claims to have no memory of the nights in question.;;;;;;;;;x
EVTOPTA_WoL_12029;[noble_drunkard.GetTitledFirstName] shall compensate the tavern owners.;;;;;;;;;x
EVTOPTB_WoL_12029;Drinking and debauchery are what your taverns are for, are they not?;;;;;;;;;x
EVTOPTC_WoL_12029;Sigh... I will pay.;;;;;;;;;x
EVTDESC_WoL_12031;During a visit to [mayor_city.GetName], [brigands_noble.GetBestName] and [brigands_noble.GetHerHis] entourage were accosted by brigands who made off with several valuables. Efforts to catch the thieves have failed, and [brigands_noble.GetTitledFirstName] is now demanding compensation from [brigands_mayor.GetBestName]. The matter has been brought for arbitration at your court.;;;;;;;;;x
EVTOPTA_WoL_12031;It seems fair. [brigands_mayor.GetTitledFirstName] will pay for what was lost.;;;;;;;;;x
EVTOPTB_WoL_12031;[brigands_mayor.GetTitledFirstName] can hardly be held responsible for this theft!;;;;;;;;;x
EVTOPTC_WoL_12031;I will personally compensate [brigands_noble.GetTitledFirstName].;;;;;;;;;x
EVTDESC_WoL_12506;Whether it is deserved or not, your decisions at court have earned you a reputation of being incredibly wise. People journey from far away to seek your advice.;;;;;;;;;x
EVTDESC_WoL_12507;Your vassals have come to respect your rulership, even if they do not always agree with your decisions. No one questions that you have what it takes to rule.;;;;;;;;;x
EVTDESC_WoL_4161_gamer;It's great to spend time carousing and frolicking in good company. You feel great, absolutely great, and that means the time has come to bring out the old game board.;;;;;;;;;x
